project,risk,stakeholder,idx
comparison of different modeling approaches for climate impact assessment,none detected,researchers and practitioners interested in vegetation distribution and climate change impact assessment,8881
None,transport risk|medical confusion risk|left behind risk,None,8882
agricultural sector development in Ivory Coast with Chinese investment,None,Chinese economy|Ivory Coast government|farmers|traders,8884
live case study project,None,authors of this paper|researchers and practitioners from architectural and engineering background,8885
None,none,employees|suppliers|customers|and consumers|society welfare,8886
Developing virtual services for older people,Over-integration (a consequence of many attempts to provide more joined-up public services by virtual means,Users (older people|co-producers (nurses|carers|etc|and developers,8887
Examining the association between gender and the cannabis industry in the USA from both policy and an organizational perspective,The potential risks associated with the legalization of adult-use cannabis|including increased revenues from taxes|decreased spending on cannabis enforcement|decreased health costs|and decreased drug-related violence,Female representation at the highest,8888
GRASP (Generalized Retrieval of Aerosol and Surface Properties,none,None,8889
19 CDM projects for MSW management are registered in India,None,policy makers|government agencies|waste management companies|environmental organizations|and local communities,8890
Agri-Environment Schemes (AESs) in England,Increasing evidence that incorporating the landscape-scale would increase scheme effectiveness,Holders of Environmental Stewardship Scheme (ESS) agreements containing the Higher Level Stewardship (HIS) option HR8; Supplement for Group Action,8891
analysis of unique conditions associated with a LOCA/LOOP|presentation of a model|and quantification of contribution to CDF,loss-of-coolant accident (LOCA|loss-of-offsite power (LOOP|core damage frequency (CDF,nuclear power plants|boiling water reactors (BWRs|pressurized water reactors,8892
Megaproject organization|actors|responses,Governance|complexity|constraints|conflicts,Actors|organizations|environment,8894
Landfill site selection (LSS,Public health risks and environmental degradation,Scientific community|government agencies|and local residents,8895
Distributed-generation PV (DG PV) development,Financial barriers resulting from the structure of the self-consumption feed-in tariff (FIT|ambivalence about DG PV within grid companies|complicated ownership structures for buildings/rooftops/businesses|and the inherent time lag in policy implementation from the central government to provincial and local governments,None,8896
exploring naming and shaming dynamics in global climate politics through survey experiments (nationally representative samples in Brazil,speaking up against climate rogues (moderating nationalist backlash,foreign climate shaming (individuals who are highly attached to their nation are more likely to reject international criticism than their lowly attached peers,8897
None,exposure to contaminants|sequential pulses|fluctuating concentrations,None,8900
Comprehensive assessment of contamination of two groups of POPs|including PCBs and PBDEs|in 173 black-odorous urban rivers in China,Deca-/penta-BDEs could pose a high ecological risk,Resident organisms in urban river sediments,8901
None,None,None,8902
optimized configuration of solid set canopy delivery systems (SSCDS) for adequate spray performance in high-density apple orchards with reduced off-target pesticide drift,none detected,farmers|agricultural researchers|environmental scientists|and regulatory agencies involved in ensuring sustainable and efficient crop protection practices,8903
Vegetated treatment systems (VTSs) have been proposed as pesticide risk mitigation measures,Pesticides entering agricultural surface waters threaten water quality and aquatic communities,Little is known about the effectiveness of VTSs in controlling nonpoint source pesticide pollution and factors relevant for pesticide retention within these systems,8905
fault tree analysis,failure rate data|dilemma,Risk Analyst,8910
Development of a conflict risk assessment model,Conflict risk|random variable,Air traffic managers,8911
None,Interface|Decision-Making|Project Management,None,8912
optimization of scheduling activities within a research laboratory (CEA,None,researchers|scientists|engineers|and possibly management personnel within the CEA,8913
Improved delayed detached eddy simulation (IDDES) approach to calculate slipstream of a four-coach 1/25th scale model of the CRH2 high-speed train,Safety risk|posed by slipstreams to passengers|trackside workers|and track infrastructure,Passengers|trackside workers|and track infrastructure,8914
Investigating the theory of governance and open innovation by adding the process of value creation and value capture|and discussing the potential link between open innovation and economic sustainability. Conducted an in-depth case study of the processes behind the transformation of governance structures at Iran Khodro Company (IKCO,Value creation and value capture processes,The company itself,8915
measuring and mitigating the risk of developing Work-Related Musculoskeletal Disorders (WMSDs) through ergonomic interventions such as team lifting and adjustable lift equipment,lifted weights|repetitions|lifting postures,construction workers|employers|occupational health professionals|researchers,8917
Seaport development,Port development|environmental concerns|safety issues,None,8918
framework|model|safety work management|supervision|cities|China,development|work safety|new content|paper|framework|supervision,None,8919
increasing productivity on 12.6 million farms while improving environmental services (79% crop yield increase|water use efficiency gains|potential carbon sequestration,None,None,8920
Developing a model that highlights the influence of board capital on the future sustainability performance of firms|taking into account specific types of human and social capital of outside directors,Board-of-director-sustainability performance relationship|lack of definitive answers|neglected value attunement concept,Outside directors|neglected in the examination of,8921
Xiluodu hydropower project,Soil erosion|scouring|and shear strength of soil-fibrous root systems and tensile strength of fibrous roots in shallow soil layers,L. leucocephala communities|including both Leucaena leucocephala and Buxus microphylla,8922
None,None,None,8923
product development strategies,None,firms compete with multiple product lines,8925
a practical substitute to full|non-linear|finite element methods,the method's safety compared to the yield line method,practical sized flat slab problem,8926
Achievement of desired portfolio results and achievement of project and program purpose,Portfolio selection|portfolio reporting|and decision-making style,Worldwide questionnaire (filtered for high-performing responses,8927
evaluation of traditional and indirect observation workstations in manual assembly operations,neck and shoulder pain|awkward postures,workers|employers|researchers (Venda and Venda|1995,8928
Planning|appraisal|delivery of major infrastructure projects|Amman Bus Rapid Transit project|public participation initiative|empirical data collection|analysis of data|identification of areas for,Public participation|improvement of well-being|large number of people and stakeholders|pressures from international and developmental bodies|expanding opportunities for public participation|effective implementation of public participation strategies,None,8929
New code introduction into the Danish Road Traffic Act (May 1|1977,Reduction in the mean speed in residential streets (11 km/h|reduction of accidents and casualties (77 accidents|88 casualties,Different groups affected by the implementation of speed,8930
LNG investment projects|additional net imports needed in certain regions,Natural gas supply and demand|transmission infrastructure|competition with coal in power generation,Existing transmission infrastructure|competing pipeline projects|US demand for natural gas,8932
Developing a model for the FE process|including identifying and evaluating tools used in the process,Aborting or forcing the restart of the Front End (FE) process due to lack of clarity or analysis of the NPD process,Experienced managers working for different companies|who provide input and validation for the decision support models generated,8934
construction industry,spatial-temporal conflicts in construction schedules,construction industry professionals|software developers|researchers,8936
Protected areas management|conservation efforts|sustainable development|stakeholder engagement,Conservation conflicts|loss of biodiversity|habitat destruction|human-wildlife conflicts,Humans|local communities|indigenous peoples|conservation organizations|government agencies,8939
Exploring the Use of Heuristic Algorithms for Maximum Likelihood Estimation of Parameters When Data is Censored,none detected,researchers (in particular those interested in machine learning and optimization techniques|practitioners working with censored data|academics studying computational methods for parameter estimation,8940
Collaborative design process|Managing design conflicts|Improving collaborative design productivity,Conflicts|Design tasks|Perspectives,Different stakeholders (e.g|design team members|clients,8941
Energy innovations,Struggles between regime and niche actors developing at the margins of established energy systems (independent of,Policy makers (making use of situational analysis,8942
Application of the Systems Engineering method in production scheduling of building projects,none detected,none detected,8943
Transactions wherein a nonmarket stakeholder provides a firm access to a valuable resource,Holdup risk|negotiation costs|and asset specificity,Indigenous communities|local communities|and nongovernmental organizations,8944
None,Organizational issues|technical issues|institutional issues,None,8945
Forest Structure and Composition,Wildfires,None,8946
construction costs|project duration|materials waste|defects|and profitability,defects caused by prefabrication costing more to resolve than conventional construction|lack of defect management systems specific to prefabricated construction in the commercial sector in Australia,builders|contractors|architects|engineers|homeowners|and,8948
Decentralisation of environmental governance in Pakistan|creation of customized EIA laws and regulations by EPAs|update of EIA regulations by EPAs,Compromised EIA effectiveness|limited coordination between EPAs and MoCC|political influence and lack of accountability of EPAs,Key EIA stakeholders including officials from environmental protection agencies (EP,8949
Management of nonurban road network maintenance|including the inclusion of technical|economic|and other characteristics of the problem|continuous application of new knowledge and approaches|and the engagement of multicriteria decision-making methods such,Maintenance of nonurban road networks|financial resources|safety flow of traffic|and construction|traffic|and economic value of roads between urban areas,None,8950
warehouse at the docks in Montevideo,buckling,Dieste,8952
Cancer research,Accurate detection of different cancer tumor types|better treatment facilities|and risk minimization for patients,Patients,8954
ZhengLuo highway,damage|crack resistance,bridge engineers|local authorities|drivers,8956
construction of housing estates in Poland over the past 20 years,none detected,author (analyzing urban aspects of projects and their impact on city space,8957
None,None,None,35
None,Climate change|soil drainage,None,8959
Designing and constructing a parking garage to ensure its durability and longevity,Exposure to environmental factors such as weathering|pollution|etc,Owners and developers of parking garages|who are interested in maximizing the lifespan and minimizing the maintenance costs of their structures,8960
EU funded project,none detected,an experimental arable plot in Bulgaria,8961
Determine an appropriate number of different categories of Delivery Persons (100,Unutilized Delivery Persons remaining during periods of low demand (21.4% savings,Food delivery organization management team (managers) (3rd contribution,8963
Strategies|management|business decisions|objective,Climate change|insurance|impacts|scenario|decision-making,Decision-makers|insurers|businesses|communities,8965
None,none detected,farmers|supporting institutions (rules and organizations,8967
None,alcohol use|binge drinking,None,8968
None,Stronger risk perceptions were associated with less Mobile Phone Use While Driving (MPUWD,None,8969
Balancing perspectives between standardization and reconfiguration in HIS design activities,Identifying and articulating boundaries vs. contextual contingencies in a design and reconfiguration process,Multiple stakeholders involved in the design process|including practitioners and system designers,8970
Modifications to conventional vessel operations to reduce the threat of lethal collisions with marine species|including large whale species,The threat of lethal collision with marine species|particularly endangered large whale species,International Maritime Organization (IMO|coastal states|shipping interests|and large whales,8971
development of the QOC Matrix|introduction of new organization of questionnaire elements|definition of ergonomic opportunity areas,ergonomic risk|workplace design and layout|task content|materials handling|work environment|psychosocial aspects,workers|management|occupational health professionals|regulatory agencies,8972
Examining the relationship between green product strategies and financial performance across different country-level contingencies,Environmental regulations|consumer economic status|and authoritarian regimes,Firms' internal resources/capabilities and external resources that firms can access,8974
New product development (NPD) projects,Dynamic project requirements and emergent nonroutine issues,Team members of 71 NPD projects in the software industry,8975
None,none detected,None,8976
Examines the nature and history of flooding in the Massawippi River drainage basin during the 20th century,Flood events caused damage to infrastructure|including communication and transportation corridors|and resulted in commercial and personal losses related to water and sediment inundations,Local communities|businesses|and individuals affected by flood events,8977
study was conducted|research was examined,results of the adviser's project|quality,politicians|directors of private companies,8978
Safety integrity level (SIL) analysis,,,8981
None,None,None,8983
sustainable development (SD,south-north|north-north and south-south divide,politicians|businesses|environmentalists|and the masses,8984
None,None,None,8986
Metabarcoding Analysis of Plankton Species in Western Pacific Seamount Regions - The study aimed to quantitatively analyze the composition and distribution patterns of plankton species in the Western Pacific seamount regions using metabarc,Harmful Algal Blooms (HABs) - 36 identified in the study|with some displaying unique spatial distribution patterns in the Western Pacific seamount regions,None,8987
managing or minimizing dependence|achieving competitive balance,dependence on actors in the external environment|resource dilemma,Negro Leagues|Major Leagues,8988
None,high levels of lipids (e.g|cholesterol esters and triglycerides,individuals at risk of developing type 2 diabetes mellitus (T2DM,8990
Irrigation system using solar powered photovoltaic water pumping system for palm grove farming,Insufificient or lack of energy access in the Saharan regions of Algeria,Farmers|government agencies|and consumers,8991
proposal of strategic location of inductive power transmitters for efficient vehicle routing,electrocution,origin|destination|and users who rely on wireless charging EVs,8992
Healthy aging in industrial environments study (4HAIE,Air pollution|physical activity in highly polluted air,Active runners|inactive controls|researchers|funding agencies|participants,8993
reintroduction program for Persian fallow deer in Israel,habitat loss|fragmentation|human-wildlife conflict,conservationists|ecologists|land managers|local communities|government agencies,8994
installation of point-of-entry filters to capture particulate lead releases|implementation of full lead service line replacements|and effective risk communication,lead concentration exceeding 10 micrograms per liter (g/L|acute exposure through improper flushing procedures|and long-term exposure due to incomplete lead service line replacements,households,8995
Construction of eight consecutive weirs along the Nakdong River,Sedimentation problems upstream of Sangju Weir,Hydrop,8996
Implementation of the Water Framework Directive|participatory river basin management|evaluation of water management policies,Full cost recovery for water services|environmental degradation|unsustainable water resource management,Public|stakeholders|local communities|water users|environmental organizations,8997
assessing perceptions of nuclear power|values-beliefs-norms (VBN) model of environmental commitment|influencing values and proenvironmental beliefs,nuclear accident|Fukushima|public health,participants|Italian participants,8998
None,No trees were found in the resignation phase|confirming that the alley is a unique natural habitat with protected species of lichen|a few bats|and valuable insect species|including the hermit,None,8999
design activity|allocation of resources|creation of adapted design environment|satisfaction of project objectives,none detected,project manager|design actors (engineers|architects|etc|clients or customers,9000
identifying the links between corporate social responsibility disclosure activities and green bond investment performance,"GDP growth"" (as a moderating variable","firms|legislators|policymakers|business's management|investors"" (due to the mention of attracting invest",9001
Simulation of water resources using Water Evaluation And Planning model|and projection of future climate scenarios using General Circulation Model,Climate change|water scarcity|and pollution,Lebanese|Palestinian|and Syrian refugees|as well as local communities and authorities involved in managing water resources in the Bekaa Valley,9002
Scientific drilling project,Deep earth exploration|high demand of practical performance|uncertain geological complexity|high requirement for R&D of critical equipment|lack of high quality data of historical records|insufficient information,Experts in the field of scientific drilling|project managers|researchers|engineers|etc,9003
Hydroelectric projects,Habitat loss and fragmentation|disease transmission|close contact between domestic dogs and wild carnivores|which could lead to conservation risks for wild carnivores in the protected area,Local communities|wildlife authorities|environmental organizations|and conservationists,9004
Ocean SAMP,None,developers|regulatory agencies|environmental groups|local communities|etc,9006
projects|running|simultaneously|competition|resource|priority,complexity|scarce resource|conflicts,various Ericsson companies|units|organization,9009
"Re-inventing Construction"" (a research paper","fragmentation and segregation of design and construction activities"" (cited as the main barrier to improved investment and development in the construction industry","industry|customers|design and construction activities"" (identified through an industry survey|workshop|and interviews",9010
Waternet (European Esprit project,None,human experts (interaction between different classes of human experts and the learning system are discussed,9011
internalization mechanism,complexity and external availability of the target technology,Samsung (as the company being studied,9012
coastal development|sustained coastal development|engineering efforts|shoreline defense|resource scarcity|disaster reduction,hazards|coastal hazards|community self-sufficiency|isolation|consequences|damage|resilience,community|coastal forces|governance|structural design|risk knowledge|prevention|warning systems|recovery,9014
Life cycle assessment (LCA) study of energy generation in Poland,none detected,government agencies|national statistical office|energy producers and distributors,9015
OPTIRAILS|European-wide supervisory management|corridor-oriented traffic management,delay|perturbations|train delays,infrastructure managers|train operators,9016
Knowledge management processes|,Knowledge management enablers|project success,None,9017
proposal|creation|development|operation|evaluation,identification|analysis|management|,internet users|Brazilian government|regional governments|national and international market|PANTANAL BRASIL Institute|OSCIP (non-profit organization,9018
None,None,None,9019
implementing ERP systems|managing large projects|adopting best practices,project failure|poor implementation|deviating from best practices,executives in charge of large projects|project managers|teams involved in the project,9020
Flood inundation mapping and risk management planning,Uncertainties in flood inundation maps|including immanent uncertainties related to DEM resolution and terrain slope angles,Planners|decision makers|and individuals affected by flooding,9022
business pitches,None,entrepreneurs,9023
conservation of endangered species,disappointing,None,9024
Examines,Small influence,Contributors (e.g|researchers|engineers,9025
ENDSEP (European Network on the Determination of Site End Points for Radiologically Contaminated Land|share experience and best practices|assess consistency between approaches|identify data gaps|develop research projects,Nuclear contamination|radiation exposure|environmental pollution,NRG (Netherlands|UKAEA (UK|CE,9026
None,High,None,9027
improvement of the existing method for determining air traffic controller attitudes towards flight level norms violations (including the proposal of an improved criterion that includes all characteristic points of the usefulness function,attitude to safe actions and conditions|violation of flight level norms (tending|indifferent|non-tending to risk,air traffic controllers,9028
Since 1990s|the phenomenon of high failure rate of projects has triggered researches into features and actions of project teams and team members,Failure rate of projects|high failure rate of projects,Project team effectiveness (PTE|article|author|researchers|project managers|team members|organization management factors|capability management factors|culture management factors,9029
Investigating the underlying influences on consumers' green food consumption in the perspectives of purchase intention and the intention-behavior gap (IBG,Health consciousness|perceived attributes|environmental consciousness|social influence|family structure|and enjoyable shopping experiences,Consumers|stakeholders|policymakers,9030
Manure management through reverse osmosis (RO,Environmental pollution due to improper manure disposal,Farmers|environmental communities|government agencies,9032
None,Data breaches|cyber attacks|etc,None,9033
scaling teams|project completion time|process gains|labor hour estimates,delays|budget overruns|coordination challenges|underestimation of labor hours required,managers|decision-makers|individuals involved in project execution,9035
developing a design for an accounting information system|improving representational faithfulness|balancing public access with privacy|using shared data from independent entities|creating a transparent system|implementing open-access immutable storage,aggregation|reporting|data sharing|privacy|security|identity modeling|network analysis|blockchain,auditors|stakeholders|entities,9036
Determining the carcinogenic potential of polycyclic aromatic hydrocarbons (PAH) in various matrices,Exposure to PAH in the environment and workplace|and associated health risks,People who may be exposed to PAH through their environment or occupation|including workers in industries where PAH are produced or released|and members of the general,9037
Groundwater resource management,Water scarcity|over-extraction of groundwater|and potential decline in aquifer levels,Decision makers|water managers|local communities|and environmental organizations,9038
construction industry|automated progress measurements|baseline plans|work packages|S-curve|integrated framework,deviation between project baseline and actual performance|labor-intensive and error-prone tracking of construction projects|significant gap between automated and traditional project measurement systems,industry experts,9039
providing a comprehensive definition of green management,none detected,none detected,9041
Investigation into corporate views on CSR disclosure through an online survey with 278 corporate professionals,Lack of uniform non-voluntary corporate social responsibility (CSR) disclosure standards and complexity around different stakeholder demands,Shareholders|institutional investors|and practitioners,9042
None,none detected,none detected,9043
Analysis of traffic crashes in Ecuador during the period from 2000 to 2019,Collision|death,Driver|family members of victims,9044
Study addressing|process design|operation stage|effective risk management|mapping risk|exploring deviation impact|process simulation tools|risk valuation|risk assessment|etc,Process safety assists|operational|economic|environmental performance|critical challenge|risk minimization strategy|deviation impact|risk map|risk assessment|etc,Facility owners|operators|engineers,9047
Research on identifying the competencies required to be a successful business rescue practitioner|surveying the membership of the Turnaround Management Association of Southern Africa|conducting interviews with top business rescue practitioners,Financial distress|low success rate of business rescues|lack of knowledge in the field,Business rescue pract,9048
raised fields (RF,environmental degradation|climate change|flooding,pre-Columbian populations|local communities|farmers|researchers,9049
Slope monitoring and landslide/rockslide risk assessment on highways,Limited number of planar surfaces in the data|technical challenges experienced during registration process,Data processing|registration procedures|selection of appropriate algorithms|etc,9050
Simplifying the application process for multiple management system standards (MSSs,None,,9051
Efficient time-dependent approach|calculation|probability distribution function|Monte Carlo sampling technique|incremental dynamic analysis results,Probability distribution function|life cycle cost|seismic loss evaluation|uncertainties,Structures|buildings|owners|investors|insurance companies|regulatory bodies,9052
conversion of wastes to biofuels,greenhouse gas emissions results vary from -566 gCO(2)eq/MJ(biofuel) to +86 gCO(2)eq/MJ(biofuel) and +23 gCO(2)eq/MJ(biofuel) fuel|relative to gasoline emissions of +94 gCO,None,9053
Development of an objective methodology for evaluating the risk of fittings protection failure and the potential reduction in that risk through deployment of mitigating strategies such as improved fittings protective structure,Damage and failure of top fittings devices on tank cars due to derailment conditions|potentially leading to the release of hazardous lading,The method,9054
reducing greenhouse gas (GHG) emissions by 80% by 2050|promoting conservation efforts|adopting alternative fuels to replace coal and motor gasoline,climate change|emission reductions|decarbonization,policymakers|subnational efforts|national and global communities,9055
Tunnel engineering|setting monitoring cross-sections|acquiring data|using BP neural network for back-analysis (mechanical parameters of surrounding rock,Complicated|indeterminate|big errors (parameters,Engineers|developers|researchers (value provided through back-analysis design,9056
Optimization of ozone contactor design to improve hydraulic efficiency,Minimization of potential risk caused by disinfection by-products through reduction of ozone dosage,Researchers studying the effects of optimized water outlets on system performance using computational fluid dynamics and species transport models,9058
Research on the effects of MP exposure on the respiratory system was conducted using mice. The study aimed to investigate the impact of MP exposure on both normal and asthmatic pulmonary physiology,Airborne microplastics (MP) may be detrimental to human health,Urgent discourse and action to mitigate environmental,9060
selection of bridge railings on the basis of site and traffic conditions,none found,"none found (the term ""stakeholder"" implies a person or group with a vested interest in the outcome of a project|but there is no mention of individuals or groups involved in the selection process",9061
SAFETUN (a science and research project,none detected,Ministry of Transport (the organization responsible for funding and overseeing the project|tunnel operators (those who will receive training according to the methodology developed,9062
infrastructure development,problems for promoters|direct government guarantees,government|lenders|promoters|client,9063
Highway infrastructure construction using precast and pre-stressed concrete elements,Durability|safety|and economy of transportation operations,Manufacturers|state departments of transportation (DOTs|inspectors|and consumers,9065
comparison of population projections from 1979 to 1994|evaluation of management strategies,population decline|insufficient data|incorrect assumptions,conservation biologists|land managers,9066
Gold (Au) mining in the study area|specifically the abandonment of Au mines and the impact of mining activities on the environment,As|Cu|Ni|and Sb have high levels of mobility and pose adverse non-carcinogenic and carcinogenic risks to humans|particularly children|through groundwater ingestion,Au-mining companies|,9067
Less Carbon,None,grassroots sustainable planning (planning from the bottom/up versus from the top/down,9068
Dynamic approach for automotive safety analysis,Real-time evaluation of severity|controllability|and exposure ratings in order to determine the tactical decisions to lower the ASIL value in real-time,Authors of the paper|who propose a framework for adapting the tactical safety for ADAS and AD systems depending on the real-time operational capability and real,9069
None,None,None,9070
development of specific skills in communication|implication in international projects|modification of psychological profiles for mechanical engineers,none detected,None,9071
schedule|project execution|resource transfer times|problem definition,uncertainty|environmental factors|resource constraints|project instability,developers|researchers|practitioners|beneficiaries (from the context of the paper,9072
Solar power plants|solar energy conversion technology|solar irradiance forecasting|and solar resource assessment,Variations in the plant energy production|accuracy of solar irradiance forecasting|and potential occlusion of the Sun due to clouds,Sky dynamics analysts|solar energy researchers|and energy supply strategy developers,9073
Mining project (specifically|optimizing level intervals,Optimizing level intervals (direct effect on the economy and technical decisions|deviation from optimal values leads to increased development costs or problems during operational activities,Stope boundary problem (input parameters for optimization models) - approximately solved using integer programming and dynamic programming,9074
The study aimed to estimate the release of seven common plastics through biosolids end-use in Australia. The researchers conducted quantitative analyses using press,Plastics are contaminants of emerging concern that can enter the environment from multiple sources|including via land application of treated sewage sludge (biosolids). This could pose a risk to the environment and human health,None,9075
Building Information Modeling (BIM,none detected,architects|engineers|contractors|owners|etc,9077
None,PBDEs and PCDEs,None,9078
Construction projects in general|including human|financial|reputation|time|quality|and scope issues,Accidents|hazards|and fatalities at construction sites,Contractors|clients|consultants|sub-contractors|and site workers,9079
Ressources project,thermal performance|electrical energy demand|design best practices,building owners|architects|engineers|researchers,9080
evaluation of sediment quality from 6 dams|4 regulation basins|2 open channels|and 3 transfer stations,presence of lead|hydrocarbons|arsenic|and nickel in some sediments|and excessive microbial levels in all sediments and sludge samples,local governmental efforts,9081
Developing a procedure for highway intersection safety performance evaluation with limited requirements for field crash and traffic data,Difficulty and time-consuming nature of obtaining historical crash data or traffic conflict data in China due to lack of routine procedures and strict requirements for traffic data management,Expert panel field evaluations were performed to validate performance of the models|which suggests that stakeholders involved in,9082
identification of the effects of materials of cementless femoral stem on the functional adaptive behaviors of bone,none detected,none detected,9083
LogistEC project aimed at developing new or improved technologies for all steps of the logistics chains|including pilot-to-industrial-scale demonstrations in Eastern France and Southern Spain,Scarcity of lignocellulosic biomass from agriculture,The project involved assessing sustainability at supply area level for small to large-scale bio,9085
interdisciplinary research project promoted by the Opera del Duomo of Santa Maria del Fiore in Florence to evaluate the conservation of the Baptistery of San Giovanni,None,experts in conservation and restoration|architects|geologists|archaeologists|and structural engineers involved in the development of the numerical model,9086
conservation citizen science projects,None,individuals who contribute data|either regularly or opportunistically|as well as researchers studying these projects,9087
Conservation of freshwater ecosystems in the Western Ghats through monitoring and managing fish diversity,Habitat loss due to human population growth and development in the region|leading to decline in fish diversity,Local communities|environmental organizations|government agencies|and research institutions involved in conserving and managing freshwater ecosystems in the Western,9088
Accumulation of the mineral soil,Establishment of short-rotation woody crop (SRWC) plantations for meeting the demand of wood and bioenergy production necessitates reclamation of agricultural lands and desert soils|such as those in the southern Columbia Plateau of Oregon|USA. This carries some risks like soil erosion|water pollution|etc,None,9089
Automated freight transport system,Interference-free|fully-enclosed|line-fixed|and no man's land application scenario (in the connecting tunnel,None,9090
On-road driver emotion recognition,None,driver|researchers|people involved in driving tasks,9091
alignment of existing regulations with EU regulations|establishment of strategic and execution documents|and activities on waste management in the last couple of years,methane emission portion from household landfills|which is estimated to be around 2,None,9092
Demonstration of a passive sulfate-reducing bacteria (SRB) bioreactor technology for metal removal at an abandoned mine site near Butte|Montana. Construction of three bioreactors with different content and placement. Performance evaluation over the last,Acid mine drainage (AMD|elevated content of dissolved metals|low pH|environmental problem,None,9093
selected problems of preventive maintenance of railway vehicles pantographs,preliminary defined risk level,"keeping a preliminary defined risk level"" (implicitly referring to someone who is interested in maintaining a certain level of risk",9094
expanding into downstream industries (e.g. refining|petrochemicals); serving as a partial hedge against oil price volatility,expansion into downstream industries (e.g. refining|petrochemicals); hedging against vagaries of oil price; potential for spillovers and overall economic development,None,9095
GA Workshop (a software tool for genetic algorithm research,none detected,researchers and educators (as the software is intended for their use,9096
construction project,optimization study area|resource scheduling problems|algorithm runtime,researchers|practitioners,9099
None,None,None,9100
Sustainable rural water supply development in Ban Thadindam using a combination of sources|including rainwater|river|spring|and pond water|along with filtration technology provided by the Asian Institute of Technology,Hardness and turbidity of well and canal water sources,Village Kamnan (district officer) and some villagers,9102
software development (SD) project,None,None,9103
None,None,None,9104
Construction of a cutoff wall under an earth dam,Water seepage,Engineers|contractors|construction companies,9106
Examining the statistical significance of the effect of recycling in the face of limited supply,Delays in implementing recycling strategies may result in unprepared firms losing market share to competitors who are better prepared to address these challenges,Firms,9107
This study is an attempt to explain the strength and timing of intergenerational transfer of housing-related wealth in China,Chinese parents are found to be impurely altruistic|son-preference oriented|and risk-avoiding in their decisions of transferring wealth to married children,Emot,9108
Governments|stakeholders|framework|implementation|scale|factors,Integral part|country|recognition|update|provision,Other stakeholders|government|legislation|regulation,9109
ASHRAE funded a project|RP1219|which suggests this is a research project conducted by ASHRAE,None,"engineers"" and ""a duct room"" suggest that the stakeholders involved in this project are likely engineering professionals working on the design and construction of HVAC systems|as well as individuals who work in spaces where these systems are",9110
Building air distribution terminal system designers and system installers require accurate quantitative information on the performance of the installed system to achieve optimum efficiency and levels of human comfort,Inaccurate quantitative information on the performance of the installed system could lead to suboptimal efficiency and discomfort levels,System designers and installers|as well as users who will benefit from,9111
Compliant gripper,Thermal control to avoid breaking objects (reducing jaw stiffness,Prototype fabrication and physical testing to verify feasibility (Avoiding or reducing the risk of breaking objects,9112
Citizen science study focused on drinking water quality data collection and education,Lead contamination,Participants (individuals who took part in the citizen science study,9113
supply integration,none detected,manufacturing firms and their suppliers,9114
analysis of the impact of COVID-19 on sustainability research|outline of solutions pursued by researchers to overcome challenges,delayed delivery of research projects|disruption of communication channels|cancellation of meetings and events,researchers around the world,9115
investigation of H-shaped honeycombed stub columns with rectangular concrete-filled steel tube flanges (STHCCs,None,None,9117
mitigation measures proposed in the paper to minimize the effects of the metro on the XCW|including route optimization|active,potential hazards to the Xi'an City Wall (XCW) posed by the Xi'an Metro's tunnel boring and train operations|such as cracking or collapsing the wall foundation,None,9118
examining the Markov perfect equilibrium termination strategies and payoffs that unfold,termination|reduction in learning rate,None,9119
evaluating the prognostic value of HbA1c levels in relation to CV risk factors and adverse outcomes in STEMI patients,high blood sugar (HbA1c 5.7-5.99%) and type 2 diabetes (HbA1c >= 6.5,patients|clinicians|researchers|and,9120
Raftsundet Bridge|Sundoy Bridge,None,None,9121
LARIA (Locally Adapted Regulatory Impact Analysis) - a method to measure the effectiveness of conservation projects in relation to their benefits to society,None,users interested in the Lake Mjosa basin - individuals or groups who have an interest in the lake's ecosystem and water quality,9122
Improved efficiency in freight transport operations,Decreased efficiency (increased security,Carrier operations in connection with port terminals carrying out RoRo operations on trailers,9123
a study,increase the risk of project termination,alliance partners,9124
None,none detected,researchers|engineers|water loss incident detectors,9125
Evaluating the effects of different pay equations commonly used by state highway agencies (SHAs) and the risks associated with pay adjustment acceptance plans. Developing operating characteristic curves associated with various pay factors and expected pay curves using Monte Carlo simulation for assessing the effects in the long run,Pay factors|single and multiple pay factors|and the risk associated with pay adjustment acceptance plans,None,9127
Autonomous cooperative vehicles|platooning|and intelligent transportation systems (ITS,Decrease in total fuel consumption of a fleet of vehicles and potential risk of accidents|especially during long-distance transportation,Realistic vehicle models|users|developers|and researchers involved in the field of autonomous driving and platooning,9128
selection and implementation of a new procurement system through the use of information technology|specifically the Analytic Hierarchy Process (AHP) and Visual Basic language,difficulties in selecting a suitable procurement system due to lack of effective evaluation methods,owner|architect|engineers|general contractor,9130
Soil pollution at industrial sites,Accurate prediction of spatial distribution of pollutants|significant and abrupt variations in spatial distribution of pollutants|prediction error associated with interpolation methods|highly polluted areas|and deviation from normal maximun concentration,,9131
Alternative scenarios for improving water service coverage and financial sustainability|including the use of different mixes of yard taps|public water points|and public water points with prepaid meters,none detected,National Water and Sewerage Corporation (NWSC|Ugandan government|and possibly local communities,9132
Engineering Nonlinearity (ENL) project|creation of nonlinear design tools for engineers,nonlinearity|severe complications to normal operation,engineers|researchers|scientists involved in the ENL project,9133
management plans,invasive Asian hornet|biodiversity|time-delayed,western European beekeepers,9134
